CNH,CSH,TUR,VIE,MON,HMO,TIB,KAM,Full_AUC_CNH,Full_AUC_CSH,Full_AUC_TUR,Full_AUC_VIE,Full_AUC_MON,Full_AUC_HMO,Full_AUC_TIB,Full_AUC_KAM,Numb_missingSNPs,Name_missingSNPs,AUC_Loss_CNH,AUC_Loss_CSH,AUC_Loss_TUR,AUC_Loss_VIE,AUC_Loss_MON,AUC_Loss_HMO,AUC_Loss_TIB,AUC_Loss_KAM
7.47215302639886e-15,0.00792414579387749,5.81098965502101e-30,0.99204199081469,5.39181707309703e-27,3.38633914239676e-05,5.74667680182819e-16,6.05467937947611e-23,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.63069485164978e-32,9.98624906610195e-08,1.75568547750582e-37,0.999999899921337,1.02000664643877e-43,2.16002051950733e-10,2.0174841143776e-22,1.69907165178485e-13,0.999502063720475,0.998781549631765,1,1,1,1,1,1,1,rs143490388,1.12701627053013e-05,2.10758982613912e-05,0,0,0,0,0,0
1.01752935944565e-19,6.14301461065397e-05,4.08454133904949e-24,0.999938569853887,1.44700009662379e-36,6.2050838034844e-15,2.94297403319098e-19,2.04528301100771e-23,0.999502063720475,0.998781549631765,1,1,1,1,1,1,1,rs117960883,4.09824098368539e-06,-3.29310910333058e-05,0,0,0,0,0,0
4.74278849434128e-33,1.7188694617833e-11,5.66253698263558e-47,0.999999999307051,4.47003709252305e-53,1.15096139452455e-32,7.73418603392059e-31,6.75760218949817e-10,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
7.29984328828241e-30,2.80881528952876e-12,3.42735639425337e-33,0.999999999997115,7.92236782280963e-42,2.43228336836905e-24,2.71355866934628e-28,7.57157234263884e-14,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.99988459766403e-20,2.55937941029384e-09,4.71190136462325e-22,0.999999995431925,2.18132964258391e-29,2.9275654180291e-12,1.07001088377635e-17,2.00576751327115e-09,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.71651376829869e-18,9.59785030413947e-12,1.05781834497378e-14,0.999999999640059,2.24106030559637e-16,6.42674340362015e-21,8.82597898529566e-12,3.41506380934086e-10,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
3.31552004636559e-16,0.0143268782072781,8.38375161903112e-19,0.983905738822451,1.5173926229536e-12,0.00176738295694719,1.1805440458307e-11,1.62202726702012e-22,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.58744303256395e-13,4.76737117166871e-06,4.50844930982618e-12,0.999995232620306,2.39585266635739e-14,1.33140386919104e-19,3.73112463732773e-12,1.87371442286557e-28,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.91044750942283e-21,3.64822741181043e-10,1.38990286945357e-28,0.999999999634855,7.74100776246633e-44,3.22636616004458e-13,1.92283544616766e-25,8.15718082814315e-20,0.999502063720475,0.998781549631765,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
